Time;NCLK12;CKE;CKQ;ADDR;RWb;CRAMCS;DTAC2;AS
-2,246e-05;0;1;1;hA030;1;1;0;1
-2,245e-05;0;1;1;hA030;1;1;1;1
-2,244e-05;0;1;1;hA030;1;1;1;1
-2,243e-05;0;1;1;hA031;1;1;1;1
-2,242e-05;1;1;0;hA031;1;1;1;1
-2,241e-05;1;1;0;hA031;1;1;1;1
-2,24e-05;1;1;0;hA031;1;1;1;1
-2,239e-05;1;1;0;hA031;1;1;1;1
-2,238e-05;0;1;0;hA031;1;1;1;0
-2,237e-05;0;1;0;hA031;1;1;1;0
-2,236e-05;0;1;0;hA031;1;1;1;0
-2,235e-05;0;1;0;hA031;1;1;1;0
-2,234e-05;1;0;0;hA031;1;1;1;0
-2,233e-05;1;0;0;hA031;1;1;1;0
-2,232e-05;1;0;0;hA031;1;1;1;0
-2,231e-05;1;0;0;hA031;1;1;1;0
-2,23e-05;0;0;0;hA031;1;1;1;0
-2,229e-05;0;0;0;hA031;1;1;1;0
-2,228e-05;0;0;0;hA031;1;1;1;0
-2,227e-05;0;0;0;hA031;1;1;1;0
-2,226e-05;0;0;1;hA031;1;1;1;0
-2,225e-05;1;0;1;hA031;1;1;0;0
-2,224e-05;1;0;1;hA031;1;1;0;0
-2,223e-05;1;0;1;hA031;1;1;0;0
-2,222e-05;0;0;1;hA031;1;1;0;0
-2,221e-05;0;0;1;hA031;1;1;0;0
-2,22e-05;0;0;1;hA031;1;1;0;0
-2,219e-05;0;0;1;hA031;1;1;0;0
-2,218e-05;0;1;1;hA031;1;1;0;0
-2,217e-05;1;1;1;hA031;1;1;0;0
-2,216e-05;1;1;1;hA031;1;1;0;0
-2,215e-05;1;1;1;hA031;1;1;0;0
-2,214e-05;1;1;1;hA031;1;1;0;0
-2,213e-05;0;1;1;hA031;1;1;0;0
-2,212e-05;0;1;1;hA031;1;1;0;0
-2,211e-05;0;1;1;hA031;1;1;0;0
-2,21e-05;0;1;0;hA031;1;1;0;0
-2,209e-05;1;1;0;hA031;1;1;0;0
-2,208e-05;1;1;0;hA031;1;1;0;0
-2,207e-05;1;1;0;hA031;1;1;0;0
-2,206e-05;1;1;0;hA031;1;1;0;0
-2,205e-05;0;1;0;hA031;1;1;0;1
-2,204e-05;0;1;0;hA031;1;1;1;1
-2,203e-05;0;1;0;hA031;1;1;1;1
-2,202e-05;0;1;0;hA031;1;1;1;1
-2,201e-05;1;0;0;hA031;1;1;1;1
-2,2e-05;1;0;0;hA031;1;1;1;1
-2,199e-05;1;0;0;hA031;1;1;1;1
-2,198e-05;1;0;0;hA031;1;1;1;1
-2,197e-05;0;0;0;hA031;1;1;1;1
-2,196e-05;0;0;0;hA031;1;1;1;1
-2,195e-05;0;0;0;hA031;1;1;1;1
-2,194e-05;0;0;0;hA031;1;1;1;1
-2,193e-05;1;0;1;hA031;1;1;1;1
-2,192e-05;1;0;1;hA031;1;1;1;1
-2,191e-05;1;0;1;hA031;1;1;1;1
-2,19e-05;1;0;1;hA031;1;1;1;1
-2,189e-05;0;0;1;hA031;1;1;1;1
-2,188e-05;0;0;1;hA031;1;1;1;1
-2,187e-05;0;0;1;hA031;1;1;1;1
-2,186e-05;0;0;1;hA031;1;1;1;1
-2,185e-05;0;1;1;hA031;1;1;1;1
-2,184e-05;1;1;1;hA031;1;1;1;1
-2,183e-05;1;1;1;hA031;1;1;1;1
-2,182e-05;1;1;1;hA031;1;1;1;1
-2,181e-05;0;1;1;hA031;1;1;1;1
-2,18e-05;0;1;1;hA031;1;1;1;1
-2,179e-05;0;1;1;hA031;1;1;1;1
-2,178e-05;0;1;1;hA031;1;1;1;1
-2,177e-05;0;1;0;hA031;1;1;1;1
-2,176e-05;1;1;0;hA031;1;1;1;1
-2,175e-05;1;1;0;hA031;1;1;1;1
-2,174e-05;1;1;0;hA031;1;1;1;1
-2,173e-05;1;1;0;hA031;1;1;1;1
-2,172e-05;0;1;0;hA031;1;1;1;1
-2,171e-05;0;1;0;hA031;1;1;1;1
-2,17e-05;0;1;0;hA811;1;1;1;1
-2,169e-05;0;0;0;h28DB;1;1;1;1
-2,168e-05;1;0;0;h28DB;1;1;1;1
-2,167e-05;1;0;0;h28DB;1;1;1;1
-2,166e-05;1;0;0;h28DB;1;1;1;1
-2,165e-05;1;0;0;h28DB;1;1;1;1
-2,164e-05;0;0;0;h28DB;1;1;1;1
-2,163e-05;0;0;0;h28DB;1;1;1;1
-2,162e-05;0;0;0;h28DB;1;1;1;1
-2,161e-05;0;0;0;h28DB;1;1;1;1
-2,16e-05;1;0;1;h28DB;1;1;1;1
-2,159e-05;1;0;1;h28DB;1;1;1;1
-2,158e-05;1;0;1;h28DB;1;1;1;1
-2,157e-05;1;0;1;h28DB;1;1;1;1
-2,156e-05;0;0;1;h28DB;1;1;1;1
-2,155e-05;0;0;1;h28DB;1;1;1;1
-2,154e-05;0;0;1;h28DB;1;1;1;1
-2,153e-05;0;0;1;h28DB;1;1;1;1
-2,152e-05;1;1;1;h28DB;1;1;1;1
-2,151e-05;1;1;1;h28DB;1;1;1;1
-2,15e-05;1;1;1;h28DB;1;1;1;1
-2,149e-05;1;1;1;h28DB;1;1;1;1
-2,148e-05;0;1;1;h28DB;1;1;1;1
-2,147e-05;0;1;1;h28DB;1;1;1;1
-2,146e-05;0;1;1;h28DB;1;1;1;1
-2,145e-05;0;1;1;h28DB;1;1;1;1
-2,144e-05;0;1;0;h28DB;1;1;1;1
-2,143e-05;1;1;0;h28DB;1;1;1;1
-2,142e-05;1;1;0;h28DB;1;1;1;1
-2,141e-05;1;1;0;h28DB;1;1;1;1
-2,14e-05;0;1;0;h28DB;1;1;1;1
-2,139e-05;0;1;0;h28DB;1;1;1;1
-2,138e-05;0;1;0;h28DB;1;1;1;1
-2,137e-05;0;1;0;h2012;1;1;1;1
-2,136e-05;0;0;0;hA032;1;1;1;1
-2,135e-05;1;0;0;hA032;1;1;1;1
-2,134e-05;1;0;0;hA032;1;1;1;1
-2,133e-05;1;0;0;hA032;1;1;1;1
-2,132e-05;0;0;0;hA032;1;1;1;0
-2,131e-05;0;0;0;hA032;1;1;1;0
-2,13e-05;0;0;0;hA032;1;1;1;0
-2,129e-05;0;0;0;hA032;1;1;1;0
-2,128e-05;0;0;1;hA032;1;1;1;0
-2,127e-05;1;0;1;hA032;1;1;1;0
-2,126e-05;1;0;1;hA032;1;1;1;0
-2,125e-05;1;0;1;hA032;1;1;1;0
-2,124e-05;1;0;1;hA032;1;1;1;0
-2,123e-05;0;0;1;hA032;1;1;1;0
-2,122e-05;0;0;1;hA032;1;1;1;0
-2,121e-05;0;0;1;hA032;1;1;1;0
-2,12e-05;0;0;1;hA032;1;1;1;0
-2,119e-05;1;1;1;hA032;1;1;1;0
-2,118e-05;1;1;1;hA032;1;1;0;0
-2,117e-05;1;1;1;hA032;1;1;0;0
-2,116e-05;1;1;1;hA032;1;1;0;0
-2,115e-05;0;1;1;hA032;1;1;0;0
-2,114e-05;0;1;1;hA032;1;1;0;0
-2,113e-05;0;1;1;hA032;1;1;0;0
-2,112e-05;0;1;1;hA032;1;1;0;0
-2,111e-05;1;1;0;hA032;1;1;0;0
-2,11e-05;1;1;0;hA032;1;1;0;0
-2,109e-05;1;1;0;hA032;1;1;0;0
-2,108e-05;1;1;0;hA032;1;1;0;0
-2,107e-05;0;1;0;hA032;1;1;0;0
-2,106e-05;0;1;0;hA032;1;1;0;0
-2,105e-05;0;1;0;hA032;1;1;0;0
-2,104e-05;0;1;0;hA032;1;1;0;0
-2,103e-05;1;0;0;hA032;1;1;0;0
-2,102e-05;1;0;0;hA032;1;1;0;0
-2,101e-05;1;0;0;hA032;1;1;0;0
-2,1e-05;1;0;0;hA032;1;1;0;0
-2,099e-05;0;0;0;hA032;1;1;0;1
-2,098e-05;0;0;0;hA032;1;1;1;1
-2,097e-05;0;0;0;hA032;1;1;1;1
-2,096e-05;0;0;0;hA032;1;1;1;1
-2,095e-05;0;0;1;hA033;1;1;1;1
-2,094e-05;1;0;1;hA033;1;1;1;1
-2,093e-05;1;0;1;hA033;1;1;1;1
-2,092e-05;1;0;1;hA033;1;1;1;1
-2,091e-05;0;0;1;hA033;1;1;1;0
-2,09e-05;0;0;1;hA033;1;1;1;0
-2,089e-05;0;0;1;hA033;1;1;1;0
-2,088e-05;0;0;1;hA033;1;1;1;0
-2,087e-05;0;1;1;hA033;1;1;1;0
-2,086e-05;1;1;1;hA033;1;1;1;0
-2,085e-05;1;1;1;hA033;1;1;1;0
-2,084e-05;1;1;1;hA033;1;1;1;0
-2,083e-05;1;1;1;hA033;1;1;1;0
-2,082e-05;0;1;1;hA033;1;1;1;0
-2,081e-05;0;1;1;hA033;1;1;1;0
-2,08e-05;0;1;1;hA033;1;1;1;0
-2,079e-05;0;1;0;hA033;1;1;1;0
-2,078e-05;1;1;0;hA033;1;1;1;0
-2,077e-05;1;1;0;hA033;1;1;0;0
-2,076e-05;1;1;0;hA033;1;1;0;0
-2,075e-05;1;1;0;hA033;1;1;0;0
-2,074e-05;0;1;0;hA033;1;1;0;0
-2,073e-05;0;1;0;hA033;1;1;0;0
-2,072e-05;0;1;0;hA033;1;1;0;0
-2,071e-05;0;0;0;hA033;1;1;0;0
-2,07e-05;1;0;0;hA033;1;1;0;0
-2,069e-05;1;0;0;hA033;1;1;0;0
-2,068e-05;1;0;0;hA033;1;1;0;0
-2,067e-05;1;0;0;hA033;1;1;0;0
-2,066e-05;0;0;0;hA033;1;1;0;0
-2,065e-05;0;0;0;hA033;1;1;0;0
-2,064e-05;0;0;0;hA033;1;1;0;0
